------------ LAYER #0, NAME = Layer 0 --------------------- 
[0] KeyCode = 0(0), KeyCodeMapped = 0()
[0] KeyCode = 0(0), KeyCodeMapped = 0()
[2] KeyCode = 2(179), KeyCodeMapped = 58(F1)
[3] KeyCode = 3(180), KeyCodeMapped = 59(F2)
[0] KeyCode = 0(0), KeyCodeMapped = 0()
[0] KeyCode = 0(0), KeyCodeMapped = 0()
[0] KeyCode = 0(0), KeyCodeMapped = 0()
[0] KeyCode = 0(0), KeyCodeMapped = 0()
[0] KeyCode = 0(0), KeyCodeMapped = 0()
[0] KeyCode = 0(0), KeyCodeMapped = 0()
[0] KeyCode = 0(0), KeyCodeMapped = 0()
[0] KeyCode = 0(0), KeyCodeMapped = 0()
[0] KeyCode = 0(0), KeyCodeMapped = 0()
[0] KeyCode = 0(0), KeyCodeMapped = 0()
[14] KeyCode = 14(41), KeyCodeMapped = 53(`)
[15] KeyCode = 15(30), KeyCodeMapped = 30(1)
[16] KeyCode = 16(31), KeyCodeMapped = 31(2)
[17] KeyCode = 17(32), KeyCodeMapped = 32(3)
[18] KeyCode = 18(33), KeyCodeMapped = 33(4)
[19] KeyCode = 19(34), KeyCodeMapped = 34(5)
[20] KeyCode = 20(35), KeyCodeMapped = 35(6)
[21] KeyCode = 21(36), KeyCodeMapped = 36(7)
[22] KeyCode = 22(37), KeyCodeMapped = 37(8)
[23] KeyCode = 23(38), KeyCodeMapped = 38(9)
[24] KeyCode = 24(39), KeyCodeMapped = 39(0)
[25] KeyCode = 25(45), KeyCodeMapped = 45(-)
[26] KeyCode = 26(46), KeyCodeMapped = 46(=)
[27] KeyCode = 27(43), KeyCodeMapped = 43(TAB)
[28] KeyCode = 28(20), KeyCodeMapped = 20(Q)
[29] KeyCode = 29(26), KeyCodeMapped = 26(W)
[30] KeyCode = 30(8), KeyCodeMapped = 8(E)
[31] KeyCode = 31(21), KeyCodeMapped = 21(R)
[32] KeyCode = 32(23), KeyCodeMapped = 23(T)
[33] KeyCode = 33(28), KeyCodeMapped = 28(Y)
[34] KeyCode = 34(24), KeyCodeMapped = 24(U)
[35] KeyCode = 35(12), KeyCodeMapped = 12(I)
[36] KeyCode = 36(18), KeyCodeMapped = 18(O)
