NO,SCAN_CODE,ROW,SIZE X,SIZE Y,CODE,NON_MAPPABLE
73,0,1,1,1,178,b2
74,0,1,1,1,179,b3
75,0,1,1,1,180,b4
76,0,1,1,1,181,b5
ROW_END,,,,,0,
1,0,2,1,1,83,53
77,0,2,1,1,84,54
78,0,2,1,1,85,55
79,0,2,1,1,86,56
ROW_END,,,,,0,0
80,0,3,1,1,95,5f
81,0,3,1,1,96,60
82,0,3,1,1,97,61
115,0,3,1,1,87,57
ROW_END,,,,,0,0
83,0,4,1,1,92,5c
84,0,4,1,1,93,5d
85,0,4,1,1,94,5e
116,0,4,1,1,87,57
ROW_END,,,,,0,
86,0,5,1,1,89,59
87,0,5,1,1,90,5a
88,0,5,1,1,91,5b
117,0,5,1,1,88,58
ROW_END,,,,,0,
113,0,6,1,1,98,62
114,0,6,1,1,98,62
89,0,6,1,1,99,63
118,0,6,1,1,88,58
